Query = geneByGene/org1/ENSG00000124209.rf
Exons file = geneByGene/org2/ENSMUSG00000027519.rf
Frequency file = geneByGene/org1/ENSG00000124209.rf.freq
-mc = 3	local = false
-ss = 1	-es = 1
-B = 5	 -b = 5Opening gap = -2	Continuing gap = -1
Similarity = 12

QID	QEXN	GID	GEXN	EX_M	EX_M%	QEX_M	QEX_M%	O_M	O_M%	TOT_M	GAP	SCORE	EVALUE
ENST00000586018	8	ENSMUST00000057831	8	4	66.67	1	16.67	1	16.67	6	0	13.61	0.06118
ENST00000291495	8	ENSMUST00000057831	8	5	83.33	1	16.67	0	0	6	0	16.64	0.002948
ENST00000406482	32	ENSMUST00000111369	31	25	86.21	4	13.79	0	0	29	1	76.84	2.109e-29
ENST00000406482	32	ENSMUST00000111370	34	27	90	2	6.667	1	3.333	30	2	74.61	1.963e-28
ENST00000406482	32	ENSMUST00000111373	32	25	86.21	4	13.79	0	0	29	2	72.84	1.152e-27
ENST00000406482	32	ENSMUST00000111372	32	24	80	2	6.667	4	13.33	30	0	71.87	3.034e-27
ENST00000406482	32	ENSMUST00000111375	33	26	89.66	3	10.34	0	0	29	3	70.47	1.229e-26
ENST00000428807	4	ENSMUST00000140600	7	0	0	0	0	2	100	2	3	-3.554	1.736e+06
ENST00000428807	4	ENSMUST00000066420	20	2	100	0	0	0	0	2	16	-25.91	8.878e+15
ENST00000428807	4	ENSMUST00000111369	31	2	100	0	0	0	0	2	27	-47.91	3.183e+25
ENST00000428807	4	ENSMUST00000111373	32	2	100	0	0	0	0	2	28	-49.91	2.352e+26
ENST00000428807	4	ENSMUST00000075269	32	2	100	0	0	0	0	2	28	-49.91	2.352e+26
ENST00000402799	33	ENSMUST00000111373	32	26	86.67	4	13.33	0	0	30	1	79.89	1.004e-30
ENST00000402799	33	ENSMUST00000111375	33	27	90	3	10	0	0	30	2	77.52	1.071e-29
ENST00000402799	33	ENSMUST00000111376	34	26	83.87	4	12.9	1	3.226	31	1	77.12	1.601e-29
ENST00000402799	33	ENSMUST00000111372	32	26	86.67	2	6.667	2	6.667	30	1	75.01	1.317e-28
ENST00000402799	33	ENSMUST00000066473	36	28	90.32	2	6.452	1	3.226	31	3	73.66	5.1e-28
ENST00000395344	33	ENSMUST00000111376	34	27	87.1	3	9.677	1	3.226	31	1	79.82	1.07e-30
ENST00000395344	33	ENSMUST00000111373	32	26	86.67	4	13.33	0	0	30	1	79.04	2.332e-30
ENST00000395344	33	ENSMUST00000111375	33	26	86.67	4	13.33	0	0	30	2	74.81	1.603e-28
ENST00000395344	33	ENSMUST00000111372	32	25	83.33	3	10	2	6.667	30	1	72.3	1.971e-27
ENST00000395344	33	ENSMUST00000111369	31	25	86.21	4	13.79	0	0	29	2	72	2.676e-27
ENST00000453571	3	ENSMUST00000140600	7	0	0	1	100	0	0	1	4	-5.213	9.119e+06
ENST00000453571	3	ENSMUST00000066420	20	0	0	1	100	0	0	1	17	-31.87	3.431e+18
ENST00000453571	3	ENSMUST00000111369	31	0	0	1	100	0	0	1	28	-53.87	1.23e+28
ENST00000453571	3	ENSMUST00000111373	32	0	0	1	100	0	0	1	29	-55.87	9.088e+28
ENST00000453571	3	ENSMUST00000075269	32	0	0	1	100	0	0	1	29	-55.87	9.088e+28
ENST00000395336	35	ENSMUST00000099723	35	30	90.91	3	9.091	0	0	33	0	94.43	4.832e-37
ENST00000395336	35	ENSMUST00000111370	34	30	93.75	2	6.25	0	0	32	1	89.02	1.084e-34
ENST00000395336	35	ENSMUST00000077941	35	28	84.85	2	6.061	3	9.091	33	0	85.33	4.351e-33
ENST00000395336	35	ENSMUST00000066473	36	30	93.75	2	6.25	0	0	32	3	81.02	3.231e-31
ENST00000395336	35	ENSMUST00000099725	35	30	96.77	1	3.226	0	0	31	4	76.25	3.812e-29
ENST00000349238	34	ENSMUST00000111381	33	28	90.32	2	6.452	1	3.226	31	1	82.37	8.343e-32
ENST00000349238	34	ENSMUST00000111375	33	28	90.32	2	6.452	1	3.226	31	1	82.08	1.12e-31
ENST00000349238	34	ENSMUST00000099723	35	28	90.32	3	9.677	0	0	31	3	78	6.634e-30
ENST00000349238	34	ENSMUST00000111376	34	26	83.87	5	16.13	0	0	31	2	75.58	7.419e-29
ENST00000349238	34	ENSMUST00000111372	32	27	90	2	6.667	1	3.333	30	2	75.33	9.573e-29
ENST00000407859	34	ENSMUST00000111375	33	28	90.32	3	9.677	0	0	31	1	84.56	9.335e-33
ENST00000407859	34	ENSMUST00000111381	33	27	87.1	2	6.452	2	6.452	31	1	78.06	6.266e-30
ENST00000407859	34	ENSMUST00000111373	32	26	86.67	4	13.33	0	0	30	2	75.89	5.48e-29
ENST00000407859	34	ENSMUST00000111371	33	26	83.87	2	6.452	3	9.677	31	1	75.41	8.839e-29
ENST00000407859	34	ENSMUST00000099723	35	27	87.1	3	9.677	1	3.226	31	3	73.68	4.983e-28
ENST00000405573	13	ENSMUST00000140600	7	0	0	2	40	3	60	5	6	-6.735	4.177e+07
ENST00000405573	13	ENSMUST00000111376	34	10	90.91	1	9.091	0	0	11	21	-10.66	2.109e+09
ENST00000405573	13	ENSMUST00000066420	20	0	0	5	45.45	6	54.55	11	7	-11.98	7.942e+09
ENST00000405573	13	ENSMUST00000111370	34	9	81.82	2	18.18	0	0	11	21	-13.36	3.157e+10
ENST00000405573	13	ENSMUST00000111369	31	6	54.55	3	27.27	2	18.18	11	18	-14.13	6.807e+10
ENST00000444117	3	ENSMUST00000140600	7	0	0	1	100	0	0	1	4	-5.213	9.119e+06
ENST00000444117	3	ENSMUST00000066420	20	0	0	1	100	0	0	1	17	-31.87	3.431e+18
ENST00000444117	3	ENSMUST00000111369	31	0	0	1	100	0	0	1	28	-53.87	1.23e+28
ENST00000444117	3	ENSMUST00000111373	32	0	0	1	100	0	0	1	29	-55.87	9.088e+28
ENST00000444117	3	ENSMUST00000075269	32	0	0	1	100	0	0	1	29	-55.87	9.088e+28
ENST00000422579	3	ENSMUST00000140600	7	0	0	1	100	0	0	1	4	-5.213	9.119e+06
ENST00000422579	3	ENSMUST00000066420	20	0	0	1	100	0	0	1	17	-31.87	3.431e+18
ENST00000422579	3	ENSMUST00000111369	31	0	0	1	100	0	0	1	28	-53.87	1.23e+28
ENST00000422579	3	ENSMUST00000111373	32	0	0	1	100	0	0	1	29	-55.87	9.088e+28
ENST00000422579	3	ENSMUST00000075269	32	0	0	1	100	0	0	1	29	-55.87	9.088e+28
ENST00000311027	36	ENSMUST00000099723	35	30	90.91	3	9.091	0	0	33	1	90.43	2.638e-35
ENST00000311027	36	ENSMUST00000077941	35	30	90.91	2	6.061	1	3.03	33	1	88.46	1.889e-34
ENST00000311027	36	ENSMUST00000066473	36	31	93.94	2	6.061	0	0	33	2	88.07	2.816e-34
ENST00000311027	36	ENSMUST00000111370	34	30	93.75	2	6.25	0	0	32	2	85.02	5.917e-33
ENST00000311027	36	ENSMUST00000099725	35	31	96.88	1	3.125	0	0	32	3	83.3	3.322e-32
ENST00000402192	33	ENSMUST00000111376	34	26	83.87	5	16.13	0	0	31	1	79.81	1.079e-30
ENST00000402192	33	ENSMUST00000111373	32	27	90	2	6.667	1	3.333	30	1	79.03	2.354e-30
ENST00000402192	33	ENSMUST00000111372	32	26	86.67	3	10	1	3.333	30	1	77.7	8.97e-30
ENST00000402192	33	ENSMUST00000066473	36	28	90.32	3	9.677	0	0	31	3	76.34	3.474e-29
ENST00000402192	33	ENSMUST00000111381	33	26	86.67	3	10	1	3.333	30	2	73.7	4.898e-28
ENST00000342922	33	ENSMUST00000111376	34	26	83.87	5	16.13	0	0	31	1	79.58	1.359e-30
ENST00000342922	33	ENSMUST00000111372	32	27	90	2	6.667	1	3.333	30	1	79.33	1.753e-30
ENST00000342922	33	ENSMUST00000066473	36	29	93.55	2	6.452	0	0	31	3	77.98	6.79e-30
ENST00000342922	33	ENSMUST00000111373	32	26	86.67	3	10	1	3.333	30	1	77.4	1.204e-29
ENST00000342922	33	ENSMUST00000111381	33	27	90	2	6.667	1	3.333	30	2	75.33	9.573e-29
ENST00000418194	5	ENSMUST00000066003	6	3	100	0	0	0	0	3	1	7.136	39.53
ENST00000418194	5	ENSMUST00000102689	7	3	100	0	0	0	0	3	2	5.136	292.1
ENST00000310015	7	ENSMUST00000102689	7	3	60	2	40	0	0	5	0	11.12	0.7364
ENST00000310015	7	ENSMUST00000066003	6	3	75	1	25	0	0	4	1	8.549	9.622
ENST00000416195	5	ENSMUST00000066003	6	3	100	0	0	0	0	3	1	7.136	39.53
ENST00000416195	5	ENSMUST00000102689	7	3	100	0	0	0	0	3	2	5.136	292.1
ENST00000360388	8	ENSMUST00000105473	8	6	100	0	0	0	0	6	0	29.14	1.095e-08
ENST00000621341	7	ENSMUST00000105473	8	5	100	0	0	0	0	5	1	13.23	0.08949
ENST00000503902	4	ENSMUST00000054173	3	0	0	1	33.33	2	66.67	3	1	1.321	1.326e+04
ENST00000503902	4	ENSMUST00000150134	3	0	0	1	33.33	2	66.67	3	1	-0.4721	7.963e+04
ENST00000503902	4	ENSMUST00000176538	2	0	0	0	0	2	100	2	2	-5.098	8.132e+06
ENST00000413580	3	ENSMUST00000054173	3	0	0	1	33.33	2	66.67	3	0	-0.7597	1.062e+05
ENST00000413580	3	ENSMUST00000150134	3	0	0	1	33.33	2	66.67	3	0	-0.8516	1.164e+05
ENST00000413580	3	ENSMUST00000176538	2	0	0	0	0	2	100	2	1	-4.1	2.997e+06
ENST00000512250	3	ENSMUST00000150134	3	0	0	1	33.33	2	66.67	3	0	1.358	1.277e+04
ENST00000512250	3	ENSMUST00000054173	3	0	0	1	33.33	2	66.67	3	0	-0.7231	1.023e+05
ENST00000512250	3	ENSMUST00000176538	2	0	0	0	0	2	100	2	1	-3.098	1.1e+06
ENST00000514112	2	ENSMUST00000054173	3	0	0	1	50	1	50	2	1	-2.211	4.533e+05
ENST00000514112	2	ENSMUST00000150134	3	0	0	1	50	1	50	2	1	-2.396	5.45e+05
ENST00000514112	2	ENSMUST00000176538	2	0	0	0	0	2	100	2	0	-2.83	8.418e+05
ENST00000310544	3	ENSMUST00000150134	3	0	0	1	33.33	2	66.67	3	0	0.6168	2.68e+04
ENST00000310544	3	ENSMUST00000054173	3	0	0	1	33.33	2	66.67	3	0	-0.4221	7.575e+04
ENST00000310544	3	ENSMUST00000176538	2	0	0	0	0	2	100	2	1	-3.177	1.19e+06
ENST00000574638	3	ENSMUST00000054173	3	0	0	1	33.33	2	66.67	3	0	2.935	2637
ENST00000574638	3	ENSMUST00000150134	3	0	0	1	33.33	2	66.67	3	0	-0.4368	7.686e+04
ENST00000574638	3	ENSMUST00000176538	2	0	0	0	0	2	100	2	1	-4.07	2.907e+06
ENST00000511066	3	ENSMUST00000054173	3	0	0	1	33.33	2	66.67	3	0	4.166	770.6
ENST00000511066	3	ENSMUST00000150134	3	0	0	1	33.33	2	66.67	3	0	0.2094	4.028e+04
ENST00000511066	3	ENSMUST00000176538	2	0	0	0	0	2	100	2	1	-4.122	3.063e+06
ENST00000527353	1	ENSMUST00000148088	2	0	0	0	0	1	100	1	1	-3.286	1.328e+06
ENST00000527353	1	ENSMUST00000123680	2	0	0	0	0	1	100	1	1	-3.31	1.36e+06
ENST00000590261	19	ENSMUST00000067646	20	14	82.35	3	17.65	0	0	17	1	74.83	1.576e-28
ENST00000590261	19	ENSMUST00000115414	18	14	93.33	1	6.667	0	0	15	3	62.33	4.22e-23
ENST00000593199	3	ENSMUST00000115414	18	0	0	1	100	0	0	1	15	-26.64	1.85e+16
ENST00000593199	3	ENSMUST00000067646	20	0	0	1	100	0	0	1	17	-30.64	1.01e+18
ENST00000449870	20	ENSMUST00000067646	20	13	72.22	5	27.78	0	0	18	0	78.1	5.974e-30
ENST00000449870	20	ENSMUST00000115414	18	13	81.25	3	18.75	0	0	16	2	65.61	1.6e-24
ENST00000589600	6	ENSMUST00000115414	18	2	66.67	1	33.33	0	0	3	14	-15.26	2.103e+11
ENST00000589600	6	ENSMUST00000067646	20	2	66.67	1	33.33	0	0	3	16	-19.26	1.148e+13
ENST00000593061	4	ENSMUST00000115414	18	1	50	1	50	0	0	2	14	-22.41	2.68e+14
ENST00000593061	4	ENSMUST00000067646	20	1	50	1	50	0	0	2	16	-26.41	1.463e+16
ENST00000407004	18	ENSMUST00000115414	18	13	81.25	3	18.75	0	0	16	0	71.61	3.966e-27
ENST00000407004	18	ENSMUST00000067646	20	13	81.25	3	18.75	0	0	16	2	65.61	1.6e-24
ENST00000250241	17	ENSMUST00000115414	18	14	93.33	1	6.667	0	0	15	1	68.33	1.046e-25
ENST00000250241	17	ENSMUST00000067646	20	14	93.33	1	6.667	0	0	15	3	62.33	4.22e-23
ENST00000589283	4	ENSMUST00000115414	18	1	50	1	50	0	0	2	14	-19.96	2.315e+13
ENST00000589283	4	ENSMUST00000067646	20	1	50	1	50	0	0	2	16	-23.96	1.264e+15
ENST00000587941	2	ENSMUST00000115414	18	0	0	0	0	2	100	2	16	-29.09	2.129e+17
ENST00000587941	2	ENSMUST00000067646	20	0	0	0	0	2	100	2	18	-33.09	1.162e+19
ENST00000590869	4	ENSMUST00000115414	18	0	0	1	50	1	50	2	14	-25.51	5.936e+15
ENST00000590869	4	ENSMUST00000067646	20	1	50	1	50	0	0	2	16	-25.53	6.046e+15
ENST00000589998	18	ENSMUST00000115414	18	14	87.5	2	12.5	0	0	16	0	74.31	2.65e-28
ENST00000589998	18	ENSMUST00000067646	20	14	87.5	2	12.5	0	0	16	2	68.31	1.069e-25
ENST00000590009	8	ENSMUST00000115414	18	5	83.33	1	16.67	0	0	6	10	7.132	39.68
ENST00000590009	8	ENSMUST00000067646	20	5	83.33	1	16.67	0	0	6	12	3.132	2167
ENST00000592763	16	ENSMUST00000115414	18	12	85.71	2	14.29	0	0	14	2	57.64	4.616e-21
ENST00000592763	16	ENSMUST00000067646	20	12	85.71	2	14.29	0	0	14	4	51.64	1.862e-18
ENST00000588657	19	ENSMUST00000067646	20	13	76.47	4	23.53	0	0	17	1	72.12	2.358e-27
ENST00000588657	19	ENSMUST00000115414	18	13	86.67	2	13.33	0	0	15	3	59.63	6.316e-22
ENST00000445129	10	ENSMUST00000047687	11	8	100	0	0	0	0	8	1	37.41	2.814e-12
ENST00000301825	11	ENSMUST00000047687	11	9	100	0	0	0	0	9	0	44.11	3.461e-15
ENST00000456402	11	ENSMUST00000047687	11	9	100	0	0	0	0	9	0	44.11	3.461e-15
ENST00000439533	5	ENSMUST00000047687	11	2	66.67	1	33.33	0	0	3	6	0.3801	3.396e+04
ENST00000574584	4	ENSMUST00000076443	4	1	25	0	0	3	75	4	0	8.695	8.315
ENST00000574584	4	ENSMUST00000100903	3	1	33.33	0	0	2	66.67	3	1	5.153	287.2
ENST00000574584	4	ENSMUST00000108499	2	0	0	0	0	2	100	2	2	-2.188	4.427e+05
ENST00000573591	3	ENSMUST00000076443	4	1	33.33	0	0	2	66.67	3	1	-0.4662	7.916e+04
ENST00000573591	3	ENSMUST00000100903	3	0	0	0	0	3	100	3	0	-3.853	2.34e+06
ENST00000573591	3	ENSMUST00000108499	2	0	0	0	0	2	100	2	1	-4.654	5.213e+06
ENST00000574154	4	ENSMUST00000076443	4	1	25	0	0	3	75	4	0	0.3	3.679e+04
ENST00000574154	4	ENSMUST00000100903	3	1	33.33	0	0	2	66.67	3	1	-1.753	2.866e+05
ENST00000574154	4	ENSMUST00000108499	2	0	0	0	0	2	100	2	2	-5.748	1.557e+07
ENST00000301395	3	ENSMUST00000100903	3	1	33.33	0	0	2	66.67	3	0	0.8546	2.113e+04
ENST00000301395	3	ENSMUST00000076443	4	1	33.33	0	0	2	66.67	3	1	-0.9733	1.314e+05
ENST00000301395	3	ENSMUST00000108499	2	0	0	0	0	2	100	2	1	-3.773	2.161e+06
ENST00000381550	4	ENSMUST00000076443	4	2	50	0	0	2	50	4	0	4.013	898.1
ENST00000381550	4	ENSMUST00000100903	3	1	33.33	0	0	2	66.67	3	1	-1.05	1.419e+05
ENST00000381550	4	ENSMUST00000108499	2	0	0	0	0	2	100	2	2	-5.747	1.555e+07
ENST00000301391	4	ENSMUST00000079681	4	2	100	0	0	0	0	2	0	6.091	112.4
ENST00000301391	4	ENSMUST00000156294	4	2	100	0	0	0	0	2	0	6.091	112.4
ENST00000575251	4	ENSMUST00000079681	4	2	100	0	0	0	0	2	0	6.091	112.4
ENST00000575251	4	ENSMUST00000156294	4	2	100	0	0	0	0	2	0	6.091	112.4
ENST00000573984	4	ENSMUST00000079681	4	2	100	0	0	0	0	2	0	6.091	112.4
ENST00000573984	4	ENSMUST00000156294	4	2	100	0	0	0	0	2	0	6.091	112.4
ENST00000577075	4	ENSMUST00000079681	4	2	100	0	0	0	0	2	0	6.091	112.4
ENST00000577075	4	ENSMUST00000156294	4	2	100	0	0	0	0	2	0	6.091	112.4
ENST00000528736	2	ENSMUST00000148975	2	0	0	1	50	1	50	2	0	4.093	828.7
ENST00000528736	2	ENSMUST00000141804	2	0	0	0	0	2	100	2	0	0.634	2.634e+04
ENST00000528736	2	ENSMUST00000133763	3	0	0	1	50	1	50	2	1	-0.5027	8.21e+04
ENST00000528736	2	ENSMUST00000153081	3	0	0	1	50	1	50	2	1	-0.524	8.387e+04
ENST00000528736	2	ENSMUST00000046890	6	0	0	1	50	1	50	2	4	-6.519	3.367e+07
ENST00000431809	4	ENSMUST00000133763	3	1	33.33	0	0	2	66.67	3	1	2.809	2992
ENST00000431809	4	ENSMUST00000046890	6	1	25	0	0	3	75	4	2	2.651	3504
ENST00000431809	4	ENSMUST00000153081	3	1	33.33	0	0	2	66.67	3	1	2.161	5725
ENST00000431809	4	ENSMUST00000148975	2	0	0	1	50	1	50	2	2	-1.942	3.464e+05
ENST00000431809	4	ENSMUST00000141804	2	0	0	0	0	2	100	2	2	-2.944	9.432e+05
ENST00000397583	6	ENSMUST00000046890	6	1	16.67	2	33.33	3	50	6	0	10.33	1.625
ENST00000397583	6	ENSMUST00000153081	3	1	33.33	1	33.33	1	33.33	3	3	-2.353	5.222e+05
ENST00000397583	6	ENSMUST00000133763	3	1	33.33	0	0	2	66.67	3	3	-2.39	5.421e+05
ENST00000397583	6	ENSMUST00000148975	2	0	0	1	50	1	50	2	4	-5.043	7.692e+06
ENST00000397583	6	ENSMUST00000141804	2	0	0	0	0	2	100	2	4	-6.944	5.15e+07
ENST00000397582	4	ENSMUST00000046890	6	1	25	1	25	2	50	4	2	4.458	575.6
ENST00000397582	4	ENSMUST00000153081	3	1	33.33	0	0	2	66.67	3	1	2.879	2790
ENST00000397582	4	ENSMUST00000133763	3	1	33.33	0	0	2	66.67	3	1	2.138	5853
ENST00000397582	4	ENSMUST00000148975	2	0	0	0	0	2	100	2	2	-2.21	4.526e+05
ENST00000397582	4	ENSMUST00000141804	2	0	0	0	0	2	100	2	2	-2.944	9.432e+05
ENST00000454668	5	ENSMUST00000046890	6	1	20	1	20	3	60	5	1	7.675	23.07
ENST00000454668	5	ENSMUST00000153081	3	1	33.33	1	33.33	1	33.33	3	2	2.56	3841
ENST00000454668	5	ENSMUST00000133763	3	1	33.33	0	0	2	66.67	3	2	1.31	1.34e+04
ENST00000454668	5	ENSMUST00000148975	2	0	0	1	50	1	50	2	3	-3.043	1.041e+06
ENST00000454668	5	ENSMUST00000141804	2	0	0	0	0	2	100	2	3	-4.944	6.969e+06
ENST00000301831	37	ENSMUST00000171923	37	34	97.14	1	2.857	0	0	35	0	105.2	9.74e-42
ENST00000301831	37	ENSMUST00000051479	34	31	96.88	1	3.125	0	0	32	3	84.11	1.472e-32
ENST00000414606	4	ENSMUST00000051479	34	1	50	1	50	0	0	2	30	-55.25	4.909e+28
ENST00000414606	4	ENSMUST00000171923 16(78)+17(107)	36	1	50	1	50	0	0	2	32	-58.82	1.744e+30
ENST00000420927	18	ENSMUST00000051479	34	15	93.75	1	6.25	0	0	16	16	-0.6159	9.194e+04
ENST00000420927	18	ENSMUST00000171923	37	15	93.75	1	6.25	0	0	16	19	-9.616	7.45e+08
ENST00000431178	3	ENSMUST00000007161	6	1	100	0	0	0	0	1	3	-2.955	9.533e+05
ENST00000324041	5	ENSMUST00000007161	6	3	100	0	0	0	0	3	1	7.136	39.53
ENST00000610789	1	ENSMUST00000055935	4	0	0	0	0	1	100	1	3	-5.353	1.05e+07
ENST00000610789	1	ENSMUST00000193890	4	0	0	0	0	1	100	1	3	-5.495	1.209e+07
ENST00000610789	1	ENSMUST00000193941	4	0	0	0	0	1	100	1	3	-5.496	1.21e+07
ENST00000252087	4	ENSMUST00000193890	4	2	100	0	0	0	0	2	0	9.763	2.858
ENST00000252087	4	ENSMUST00000055935	4	2	100	0	0	0	0	2	0	9.763	2.858
ENST00000252087	4	ENSMUST00000193941	4	2	100	0	0	0	0	2	0	6.091	112.4
ENST00000259030	2	ENSMUST00000038423	2	0	0	0	0	2	100	2	0	2.653	3499
ENST00000591587	4	ENSMUST00000001802	6	2	100	0	0	0	0	2	2	2.091	6139
ENST00000590358	2	ENSMUST00000001802	6	0	0	0	0	2	100	2	4	-6.863	4.75e+07
ENST00000586516	4	ENSMUST00000001802	6	2	100	0	0	0	0	2	2	2.091	6139
ENST00000225927	6	ENSMUST00000001802	6	4	100	0	0	0	0	4	0	19.67	0.0001426
ENST00000592454	2	ENSMUST00000001802	6	0	0	0	0	2	100	2	4	-6.793	4.428e+07
ENST00000448612	26	ENSMUST00000170386	23	19	90.48	1	4.762	1	4.762	21	3	49.14	2.263e-17
ENST00000474018	4	ENSMUST00000170386 20(97)+21(98)	22	1	50	0	0	1	50	2	18	-33.57	1.883e+19
ENST00000441385	7	ENSMUST00000170386	23	5	100	0	0	0	0	5	16	-16.77	9.564e+11
ENST00000423258	22	ENSMUST00000170386	23	16	84.21	1	5.263	2	10.53	19	3	40.37	1.46e-13
ENST00000405141	25	ENSMUST00000085814	23	17	80.95	3	14.29	1	4.762	21	2	51.94	1.373e-18
ENST00000288599	22	ENSMUST00000085814	23	17	85	2	10	1	5	20	1	52.81	5.773e-19
ENST00000395856	21	ENSMUST00000085814	23	17	89.47	1	5.263	1	5.263	19	2	46.45	3.338e-16
ENST00000348332	21	ENSMUST00000085814	23	17	89.47	1	5.263	1	5.263	19	2	46.45	3.338e-16
ENST00000407230	22	ENSMUST00000085814	23	16	80	2	10	2	10	20	1	48.99	2.636e-17
ENST00000406961	23	ENSMUST00000085814	23	17	85	2	10	1	5	20	2	48.58	3.952e-17
ENST00000395868	3	ENSMUST00000052296	4	0	0	1	100	0	0	1	1	-0.587	8.933e+04
ENST00000395872	5	ENSMUST00000052296	4	0	0	2	100	0	0	2	1	0.3031	3.668e+04
ENST00000201015	4	ENSMUST00000052296	4	0	0	1	100	0	0	1	2	-2.587	6.6e+05
ENST00000538310	3	ENSMUST00000052296	4	0	0	1	100	0	0	1	1	-1.11	1.507e+05
ENST00000534890	3	ENSMUST00000052296	4	0	0	1	100	0	0	1	1	-0.587	8.933e+04
ENST00000539239	3	ENSMUST00000052296	4	0	0	1	100	0	0	1	1	-1.11	1.507e+05
ENST00000535992	3	ENSMUST00000052296	4	0	0	1	100	0	0	1	1	-0.587	8.933e+04
