Query = geneByGene/org2/ENSMUSG00000027519.rf
Exons file = geneByGene/org1/ENSG00000124209.rf
Frequency file = geneByGene/org2/ENSMUSG00000027519.rf.freq
-mc = 3	local = false
-ss = 1	-es = 1
-B = 5	 -b = 5Opening gap = -2	Continuing gap = -1
Similarity = 12

QID	QEXN	GID	GEXN	EX_M	EX_M%	QEX_M	QEX_M%	O_M	O_M%	TOT_M	GAP	SCORE	EVALUE
ENSMUST00000020165	13	ENST00000446774	4	2	100	0	0	0	0	2	9	-11.91	1.185e+10
ENSMUST00000057831	8	ENST00000291495	8	5	83.33	1	16.67	0	0	6	0	16.64	0.004732
ENSMUST00000057831	8	ENST00000586018	8	4	66.67	1	16.67	1	16.67	6	0	13.61	0.0982
ENSMUST00000111373	32	ENST00000402799	33	26	86.67	4	13.33	0	0	30	1	79.89	1.611e-30
ENSMUST00000111373	32	ENST00000395344	33	26	86.67	4	13.33	0	0	30	1	79.04	3.743e-30
ENSMUST00000111373	32	ENST00000402192	33	27	90	2	6.667	1	3.333	30	1	79.03	3.779e-30
ENSMUST00000111373	32	ENST00000342922	33	26	86.67	3	10	1	3.333	30	1	77.4	1.933e-29
ENSMUST00000111373	32	ENST00000407859	34	26	86.67	4	13.33	0	0	30	2	75.89	8.796e-29
ENSMUST00000140600	7	ENST00000428807	4	0	0	0	0	2	100	2	3	-3.554	2.786e+06
ENSMUST00000140600	7	ENST00000453571	3	0	0	1	100	0	0	1	4	-5.213	1.464e+07
ENSMUST00000140600	7	ENST00000444117	3	0	0	1	100	0	0	1	4	-5.213	1.464e+07
ENSMUST00000140600	7	ENST00000422579	3	0	0	1	100	0	0	1	4	-5.213	1.464e+07
ENSMUST00000140600	7	ENST00000405573	13	0	0	2	40	3	60	5	6	-6.735	6.704e+07
ENSMUST00000066473	36	ENST00000311027	36	31	93.94	2	6.061	0	0	33	2	88.07	4.519e-34
ENSMUST00000066473	36	ENST00000395336	35	30	93.75	2	6.25	0	0	32	3	81.02	5.186e-31
ENSMUST00000066473	36	ENST00000342922	33	29	93.55	2	6.452	0	0	31	3	77.98	1.09e-29
ENSMUST00000066473	36	ENST00000402192	33	28	90.32	3	9.677	0	0	31	3	76.34	5.576e-29
ENSMUST00000066473	36	ENST00000349238	34	29	93.55	2	6.452	0	0	31	4	73.98	5.951e-28
ENSMUST00000066420	20	ENST00000402192	33	17	94.44	1	5.556	0	0	18	13	13.54	0.1049
ENSMUST00000066420	20	ENST00000342922	33	17	94.44	1	5.556	0	0	18	13	13.54	0.1049
ENSMUST00000066420	20	ENST00000406482	32	16	88.89	1	5.556	1	5.556	18	12	12.22	0.3923
ENSMUST00000066420	20	ENST00000349238	34	17	94.44	1	5.556	0	0	18	14	10.54	2.107
ENSMUST00000066420	20	ENST00000402799	33	16	88.89	1	5.556	1	5.556	18	13	9.222	7.879
ENSMUST00000099723	35	ENST00000395336	35	30	90.91	3	9.091	0	0	33	0	94.43	7.756e-37
ENSMUST00000099723	35	ENST00000311027	36	30	90.91	3	9.091	0	0	33	1	90.43	4.235e-35
ENSMUST00000099723	35	ENST00000349238	34	28	90.32	3	9.677	0	0	31	3	78	1.065e-29
ENSMUST00000099723	35	ENST00000407859	34	27	87.1	3	9.677	1	3.226	31	3	73.68	7.998e-28
ENSMUST00000099723	35	ENST00000402192	33	28	93.33	2	6.667	0	0	30	4	70.93	1.251e-26
ENSMUST00000099725	35	ENST00000311027	36	31	96.88	1	3.125	0	0	32	3	83.3	5.332e-32
ENSMUST00000099725	35	ENST00000395336	35	30	96.77	1	3.226	0	0	31	4	76.25	6.119e-29
ENSMUST00000099725	35	ENST00000342922	33	29	96.67	1	3.333	0	0	30	4	73.2	1.286e-27
ENSMUST00000099725	35	ENST00000402192	33	28	93.33	2	6.667	0	0	30	4	71.57	6.579e-27
ENSMUST00000099725	35	ENST00000349238	34	29	96.67	1	3.333	0	0	30	5	69.2	7.021e-26
ENSMUST00000075269	32	ENST00000402799	33	25	83.33	2	6.667	3	10	30	1	72.36	2.982e-27
ENSMUST00000075269	32	ENST00000342922	33	25	83.33	2	6.667	3	10	30	1	72.12	3.822e-27
ENSMUST00000075269	32	ENST00000402192	33	24	80	3	10	3	10	30	1	70.48	1.955e-26
ENSMUST00000075269	32	ENST00000395344	33	24	80	3	10	3	10	30	1	69.66	4.463e-26
ENSMUST00000075269	32	ENST00000406482	32	23	76.67	2	6.667	5	16.67	30	0	69.23	6.868e-26
ENSMUST00000111369	31	ENST00000406482	32	25	86.21	4	13.79	0	0	29	1	76.84	3.386e-29
ENSMUST00000111369	31	ENST00000402799	33	25	86.21	4	13.79	0	0	29	2	72.84	1.849e-27
ENSMUST00000111369	31	ENST00000395344	33	25	86.21	4	13.79	0	0	29	2	72	4.295e-27
ENSMUST00000111369	31	ENST00000402192	33	26	89.66	2	6.897	1	3.448	29	2	71.99	4.336e-27
ENSMUST00000111369	31	ENST00000407859	34	25	86.21	4	13.79	0	0	29	3	70.5	1.928e-26
ENSMUST00000111381	33	ENST00000349238	34	28	90.32	2	6.452	1	3.226	31	1	82.37	1.339e-31
ENSMUST00000111381	33	ENST00000407859	34	27	87.1	2	6.452	2	6.452	31	1	78.06	1.006e-29
ENSMUST00000111381	33	ENST00000342922	33	27	90	2	6.667	1	3.333	30	2	75.33	1.537e-28
ENSMUST00000111381	33	ENST00000311027	36	28	90.32	2	6.452	1	3.226	31	3	74.37	3.992e-28
ENSMUST00000111381	33	ENST00000402192	33	26	86.67	3	10	1	3.333	30	2	73.7	7.861e-28
ENSMUST00000077941	35	ENST00000311027	36	30	90.91	2	6.061	1	3.03	33	1	88.46	3.032e-34
ENSMUST00000077941	35	ENST00000395336	35	28	84.85	2	6.061	3	9.091	33	0	85.33	6.983e-33
ENSMUST00000077941	35	ENST00000349238	34	28	90.32	2	6.452	1	3.226	31	3	74.37	3.992e-28
ENSMUST00000077941	35	ENST00000407859	34	27	87.1	2	6.452	2	6.452	31	3	70.06	2.998e-26
ENSMUST00000077941	35	ENST00000342922	33	27	90	2	6.667	1	3.333	30	4	67.33	4.581e-25
ENSMUST00000111375	33	ENST00000407859	34	28	90.32	3	9.677	0	0	31	1	84.56	1.498e-32
ENSMUST00000111375	33	ENST00000349238	34	28	90.32	2	6.452	1	3.226	31	1	82.08	1.798e-31
ENSMUST00000111375	33	ENST00000402799	33	27	90	3	10	0	0	30	2	77.52	1.719e-29
ENSMUST00000111375	33	ENST00000342922	33	27	90	2	6.667	1	3.333	30	2	75.03	2.063e-28
ENSMUST00000111375	33	ENST00000395344	33	26	86.67	4	13.33	0	0	30	2	74.81	2.573e-28
ENSMUST00000111376	34	ENST00000395344	33	27	87.1	3	9.677	1	3.226	31	1	79.82	1.718e-30
ENSMUST00000111376	34	ENST00000402192	33	26	83.87	5	16.13	0	0	31	1	79.81	1.732e-30
ENSMUST00000111376	34	ENST00000342922	33	26	83.87	5	16.13	0	0	31	1	79.58	2.181e-30
ENSMUST00000111376	34	ENST00000311027	36	27	84.38	5	15.62	0	0	32	2	78.63	5.666e-30
ENSMUST00000111376	34	ENST00000402799	33	26	83.87	4	12.9	1	3.226	31	1	77.12	2.57e-29
ENSMUST00000111370	34	ENST00000395336	35	30	93.75	2	6.25	0	0	32	1	89.02	1.74e-34
ENSMUST00000111370	34	ENST00000311027	36	30	93.75	2	6.25	0	0	32	2	85.02	9.498e-33
ENSMUST00000111370	34	ENST00000342922	33	28	93.33	2	6.667	0	0	30	3	74.93	2.291e-28
ENSMUST00000111370	34	ENST00000406482	32	27	90	2	6.667	1	3.333	30	2	74.61	3.151e-28
ENSMUST00000111370	34	ENST00000402192	33	27	90	3	10	0	0	30	3	73.3	1.172e-27
ENSMUST00000111371	33	ENST00000407859	34	26	83.87	2	6.452	3	9.677	31	1	75.41	1.419e-28
ENSMUST00000111371	33	ENST00000349238	34	26	83.87	2	6.452	3	9.677	31	1	75.16	1.819e-28
ENSMUST00000111371	33	ENST00000402799	33	25	83.33	2	6.667	3	10	30	2	68.36	1.628e-25
ENSMUST00000111371	33	ENST00000342922	33	25	83.33	2	6.667	3	10	30	2	68.12	2.087e-25
ENSMUST00000111371	33	ENST00000311027	36	26	83.87	2	6.452	3	9.677	31	3	67.16	5.421e-25
ENSMUST00000111372	32	ENST00000342922	33	27	90	2	6.667	1	3.333	30	1	79.33	2.814e-30
ENSMUST00000111372	32	ENST00000402192	33	26	86.67	3	10	1	3.333	30	1	77.7	1.44e-29
ENSMUST00000111372	32	ENST00000349238	34	27	90	2	6.667	1	3.333	30	2	75.33	1.537e-28
ENSMUST00000111372	32	ENST00000402799	33	26	86.67	2	6.667	2	6.667	30	1	75.01	2.114e-28
ENSMUST00000111372	32	ENST00000395344	33	25	83.33	3	10	2	6.667	30	1	72.3	3.164e-27
ENSMUST00000066003	6	ENST00000310015	7	3	75	1	25	0	0	4	1	8.549	15.45
ENSMUST00000066003	6	ENST00000418194	5	3	100	0	0	0	0	3	1	7.136	63.45
ENSMUST00000066003	6	ENST00000416195	5	3	100	0	0	0	0	3	1	7.136	63.45
ENSMUST00000102689	7	ENST00000310015	7	3	60	2	40	0	0	5	0	11.12	1.182
ENSMUST00000102689	7	ENST00000418194	5	3	100	0	0	0	0	3	2	5.136	468.8
ENSMUST00000102689	7	ENST00000416195	5	3	100	0	0	0	0	3	2	5.136	468.8
ENSMUST00000105473	8	ENST00000360388	8	6	100	0	0	0	0	6	0	29.14	1.758e-08
ENSMUST00000105473	8	ENST00000621341	7	5	100	0	0	0	0	5	1	13.23	0.1436
ENSMUST00000150134	3	ENST00000413580	3	0	0	1	100	0	0	1	0	1.704	1.45e+04
ENSMUST00000150134	3	ENST00000512250	3	0	0	1	100	0	0	1	0	1.704	1.45e+04
ENSMUST00000150134	3	ENST00000310544	3	0	0	1	100	0	0	1	0	1.704	1.45e+04
ENSMUST00000150134	3	ENST00000574638	3	0	0	1	100	0	0	1	0	1.704	1.45e+04
ENSMUST00000150134	3	ENST00000511066	3	0	0	1	100	0	0	1	0	1.704	1.45e+04
ENSMUST00000176538	2	ENST00000514112	2	0	0	0	0	2	100	2	0	-2.83	1.351e+06
ENSMUST00000176538	2	ENST00000512250	3	0	0	0	0	2	100	2	1	-3.098	1.766e+06
ENSMUST00000176538	2	ENST00000310544	3	0	0	0	0	2	100	2	1	-3.177	1.911e+06
ENSMUST00000176538	2	ENST00000574638	3	0	0	0	0	2	100	2	1	-4.07	4.667e+06
ENSMUST00000176538	2	ENST00000413580	3	0	0	0	0	2	100	2	1	-4.1	4.811e+06
ENSMUST00000054173	3	ENST00000574638	3	0	0	1	100	0	0	1	0	3.648	2076
ENSMUST00000054173	3	ENST00000511066	3	0	0	1	100	0	0	1	0	3.648	2076
ENSMUST00000054173	3	ENST00000413580	3	0	0	1	100	0	0	1	0	1.704	1.45e+04
ENSMUST00000054173	3	ENST00000512250	3	0	0	1	100	0	0	1	0	1.704	1.45e+04
ENSMUST00000054173	3	ENST00000310544	3	0	0	1	100	0	0	1	0	1.704	1.45e+04
ENSMUST00000123680	2	ENST00000527353	1	0	0	0	0	1	100	1	1	-3.31	2.182e+06
ENSMUST00000148088	2	ENST00000527353	1	0	0	0	0	1	100	1	1	-3.286	2.132e+06
ENSMUST00000067646	20	ENST00000449870	20	13	72.22	5	27.78	0	0	18	0	78.1	9.589e-30
ENSMUST00000067646	20	ENST00000590261	19	14	82.35	3	17.65	0	0	17	1	74.83	2.529e-28
ENSMUST00000067646	20	ENST00000588657	19	13	76.47	4	23.53	0	0	17	1	72.12	3.785e-27
ENSMUST00000067646	20	ENST00000589998	18	14	87.5	2	12.5	0	0	16	2	68.31	1.716e-25
ENSMUST00000067646	20	ENST00000407004	18	13	81.25	3	18.75	0	0	16	2	65.61	2.568e-24
ENSMUST00000115414	18	ENST00000589998	18	14	87.5	2	12.5	0	0	16	0	74.31	4.254e-28
ENSMUST00000115414	18	ENST00000407004	18	13	81.25	3	18.75	0	0	16	0	71.61	6.366e-27
ENSMUST00000115414	18	ENST00000250241	17	14	93.33	1	6.667	0	0	15	1	68.33	1.679e-25
ENSMUST00000115414	18	ENST00000449870	20	13	81.25	3	18.75	0	0	16	2	65.61	2.568e-24
ENSMUST00000115414	18	ENST00000590261	19	14	93.33	1	6.667	0	0	15	3	62.33	6.774e-23
ENSMUST00000047687	11	ENST00000301825	11	9	100	0	0	0	0	9	0	44.11	5.556e-15
ENSMUST00000047687	11	ENST00000456402	11	9	100	0	0	0	0	9	0	44.11	5.556e-15
ENSMUST00000047687	11	ENST00000445129	10	8	100	0	0	0	0	8	1	37.41	4.518e-12
ENSMUST00000047687	11	ENST00000439533	5	2	66.67	1	33.33	0	0	3	6	0.3801	5.451e+04
ENSMUST00000076443	4	ENST00000574584	4	1	50	0	0	1	50	2	0	7.018	71.37
ENSMUST00000076443	4	ENST00000381550	4	2	100	0	0	0	0	2	0	6.091	180.5
ENSMUST00000076443	4	ENST00000574154	4	1	50	0	0	1	50	2	0	3.058	3745
ENSMUST00000076443	4	ENST00000573591	3	1	100	0	0	0	0	1	1	1.045	2.803e+04
ENSMUST00000076443	4	ENST00000301395	3	1	100	0	0	0	0	1	1	1.045	2.803e+04
ENSMUST00000100903	3	ENST00000301395	3	1	100	0	0	0	0	1	0	3.045	3793
ENSMUST00000100903	3	ENST00000574584	4	1	100	0	0	0	0	1	1	2.989	4012
ENSMUST00000100903	3	ENST00000574154	4	1	100	0	0	0	0	1	1	1.045	2.803e+04
ENSMUST00000100903	3	ENST00000381550	4	1	100	0	0	0	0	1	1	1.045	2.803e+04
ENSMUST00000100903	3	ENST00000573591	3	0	0	0	0	1	100	1	0	-1.128	2.463e+05
ENSMUST00000108499	2	ENST00000574584	4	0	0	0	0	2	100	2	2	-2.188	7.105e+05
ENSMUST00000108499	2	ENST00000301395	3	0	0	0	0	2	100	2	1	-3.773	3.468e+06
ENSMUST00000108499	2	ENST00000573591	3	0	0	0	0	2	100	2	1	-4.654	8.368e+06
ENSMUST00000108499	2	ENST00000381550	4	0	0	0	0	2	100	2	2	-5.747	2.497e+07
ENSMUST00000108499	2	ENST00000574154	4	0	0	0	0	2	100	2	2	-5.748	2.5e+07
ENSMUST00000079681	4	ENST00000301391	4	2	100	0	0	0	0	2	0	6.091	180.5
ENSMUST00000079681	4	ENST00000575251	4	2	100	0	0	0	0	2	0	6.091	180.5
ENSMUST00000079681	4	ENST00000573984	4	2	100	0	0	0	0	2	0	6.091	180.5
ENSMUST00000079681	4	ENST00000577075	4	2	100	0	0	0	0	2	0	6.091	180.5
ENSMUST00000156294	4	ENST00000301391	4	2	100	0	0	0	0	2	0	6.091	180.5
ENSMUST00000156294	4	ENST00000575251	4	2	100	0	0	0	0	2	0	6.091	180.5
ENSMUST00000156294	4	ENST00000573984	4	2	100	0	0	0	0	2	0	6.091	180.5
ENSMUST00000156294	4	ENST00000577075	4	2	100	0	0	0	0	2	0	6.091	180.5
ENSMUST00000153081	3	ENST00000397582	4	1	33.33	0	0	2	66.67	3	1	2.879	4479
ENSMUST00000153081	3	ENST00000454668	5	1	33.33	1	33.33	1	33.33	3	2	2.56	6165
ENSMUST00000153081	3	ENST00000431809	4	1	33.33	0	0	2	66.67	3	1	2.161	9189
ENSMUST00000153081	3	ENST00000528736	2	0	0	1	50	1	50	2	1	-0.524	1.346e+05
ENSMUST00000153081	3	ENST00000397583	6	1	33.33	1	33.33	1	33.33	3	3	-2.353	8.382e+05
ENSMUST00000046890	6	ENST00000397583	6	1	16.67	2	33.33	3	50	6	0	10.33	2.609
ENSMUST00000046890	6	ENST00000454668	5	1	20	1	20	3	60	5	1	7.675	37.02
ENSMUST00000046890	6	ENST00000397582	4	1	25	1	25	2	50	4	2	4.458	923.9
ENSMUST00000046890	6	ENST00000431809	4	1	25	0	0	3	75	4	2	2.651	5624
ENSMUST00000046890	6	ENST00000528736	2	0	0	1	50	1	50	2	4	-6.519	5.405e+07
ENSMUST00000148975	2	ENST00000528736	2	0	0	1	50	1	50	2	0	4.093	1330
ENSMUST00000148975	2	ENST00000431809	4	0	0	1	50	1	50	2	2	-1.942	5.56e+05
ENSMUST00000148975	2	ENST00000397582	4	0	0	0	0	2	100	2	2	-2.21	7.264e+05
ENSMUST00000148975	2	ENST00000454668	5	0	0	1	50	1	50	2	3	-3.043	1.671e+06
ENSMUST00000148975	2	ENST00000397583	6	0	0	1	50	1	50	2	4	-5.043	1.235e+07
ENSMUST00000141804	2	ENST00000528736	2	0	0	0	0	2	100	2	0	0.634	4.229e+04
ENSMUST00000141804	2	ENST00000431809	4	0	0	0	0	2	100	2	2	-2.944	1.514e+06
ENSMUST00000141804	2	ENST00000397582	4	0	0	0	0	2	100	2	2	-2.944	1.514e+06
ENSMUST00000141804	2	ENST00000454668	5	0	0	0	0	2	100	2	3	-4.944	1.119e+07
ENSMUST00000141804	2	ENST00000397583	6	0	0	0	0	2	100	2	4	-6.944	8.266e+07
ENSMUST00000133763	3	ENST00000431809	4	1	33.33	0	0	2	66.67	3	1	2.809	4802
ENSMUST00000133763	3	ENST00000397582	4	1	33.33	0	0	2	66.67	3	1	2.138	9394
ENSMUST00000133763	3	ENST00000454668	5	1	33.33	0	0	2	66.67	3	2	1.31	2.151e+04
ENSMUST00000133763	3	ENST00000528736	2	0	0	1	50	1	50	2	1	-0.5027	1.318e+05
ENSMUST00000133763	3	ENST00000397583	6	1	33.33	0	0	2	66.67	3	3	-2.39	8.701e+05
ENSMUST00000051479	34	ENST00000301831	37	31	96.88	1	3.125	0	0	32	3	84.11	2.362e-32
ENSMUST00000051479	34	ENST00000420927	18	15	93.75	1	6.25	0	0	16	16	-0.6159	1.476e+05
ENSMUST00000051479	34	ENST00000414606	4	1	50	1	50	0	0	2	30	-55.25	7.879e+28
ENSMUST00000171923	37	ENST00000301831	37	34	97.14	1	2.857	0	0	35	0	105.2	1.564e-41
ENSMUST00000171923	37	ENST00000420927	18	15	93.75	1	6.25	0	0	16	19	-9.616	1.196e+09
ENSMUST00000171923 16(78)+17(107)	36	ENST00000414606	4	1	50	1	50	0	0	2	32	-58.82	2.8e+30
ENSMUST00000007161	6	ENST00000324041	5	3	100	0	0	0	0	3	1	7.136	63.45
ENSMUST00000007161	6	ENST00000431178	3	1	100	0	0	0	0	1	3	-2.955	1.53e+06
ENSMUST00000193890	4	ENST00000252087	4	2	50	0	0	2	50	4	0	10.78	1.666
ENSMUST00000193890	4	ENST00000610789	1	0	0	0	0	1	100	1	3	-5.495	1.941e+07
ENSMUST00000193941	4	ENST00000252087	4	2	50	0	0	2	50	4	0	3.217	3195
ENSMUST00000193941	4	ENST00000610789	1	0	0	0	0	1	100	1	3	-5.496	1.942e+07
ENSMUST00000055935	4	ENST00000252087	4	2	50	0	0	2	50	4	0	12.08	0.4528
ENSMUST00000055935	4	ENST00000610789	1	0	0	0	0	1	100	1	3	-5.353	1.685e+07
ENSMUST00000038423	2	ENST00000259030	2	0	0	0	0	2	100	2	0	2.653	5617
ENSMUST00000001802	6	ENST00000225927	6	4	66.67	2	33.33	0	0	6	0	25.08	1.024e-06
ENSMUST00000001802	6	ENST00000591587	4	2	50	0	0	2	50	4	2	4.519	868.8
ENSMUST00000001802	6	ENST00000586516	4	2	50	0	0	2	50	4	2	1.02	2.875e+04
ENSMUST00000001802	6	ENST00000592454	2	0	0	0	0	2	100	2	4	-6.793	7.108e+07
ENSMUST00000001802	6	ENST00000590358	2	0	0	0	0	2	100	2	4	-6.863	7.624e+07
ENSMUST00000170386	23	ENST00000448612	26	19	90.48	1	4.762	1	4.762	21	3	49.14	3.632e-17
ENSMUST00000170386	23	ENST00000423258	22	16	84.21	1	5.263	2	10.53	19	3	40.37	2.344e-13
ENSMUST00000170386	23	ENST00000441385	7	5	100	0	0	0	0	5	16	-16.77	1.535e+12
ENSMUST00000170386 20(97)+21(98)	22	ENST00000474018	4	1	50	0	0	1	50	2	18	-33.57	3.022e+19
ENSMUST00000085814	23	ENST00000288599	22	17	85	2	10	1	5	20	1	52.81	9.266e-19
ENSMUST00000085814	23	ENST00000405141	25	17	80.95	3	14.29	1	4.762	21	2	51.94	2.204e-18
ENSMUST00000085814	23	ENST00000407230	22	16	80	2	10	2	10	20	1	48.99	4.232e-17
ENSMUST00000085814	23	ENST00000406961	23	17	85	2	10	1	5	20	2	48.58	6.343e-17
ENSMUST00000085814	23	ENST00000395856	21	17	89.47	1	5.263	1	5.263	19	2	46.45	5.357e-16
ENSMUST00000052296	4	ENST00000395872	5	0	0	2	100	0	0	2	1	0.3031	5.887e+04
ENSMUST00000052296	4	ENST00000395868	3	0	0	1	100	0	0	1	1	-0.587	1.434e+05
ENSMUST00000052296	4	ENST00000534890	3	0	0	1	100	0	0	1	1	-0.587	1.434e+05
ENSMUST00000052296	4	ENST00000535992	3	0	0	1	100	0	0	1	1	-0.587	1.434e+05
ENSMUST00000052296	4	ENST00000542963	3	0	0	1	100	0	0	1	1	-0.587	1.434e+05
ENSMUST00000060336	3	ENST00000168712	3	1	100	0	0	0	0	1	0	3.045	3793
ENSMUST00000112858	3	ENST00000374433	3	0	0	1	100	0	0	1	0	1.034	2.833e+04
ENSMUST00000112858	3	ENST00000395797	3	0	0	1	100	0	0	1	0	1.034	2.833e+04
ENSMUST00000112859	3	ENST00000374433	3	0	0	1	100	0	0	1	0	1.034	2.833e+04
ENSMUST00000112859	3	ENST00000395797	3	0	0	1	100	0	0	1	0	1.034	2.833e+04
ENSMUST00000112861	4	ENST00000374433	3	0	0	1	100	0	0	1	1	0.1337	6.974e+04
ENSMUST00000112861	4	ENST00000395797	3	0	0	1	100	0	0	1	1	0.1337	6.974e+04
ENSMUST00000112860	3	ENST00000374433	3	0	0	1	100	0	0	1	0	2.134	9438
ENSMUST00000112860	3	ENST00000395797	3	0	0	1	100	0	0	1	0	2.134	9438
ENSMUST00000134526	3	ENST00000374433	3	0	0	1	100	0	0	1	0	2.134	9438
ENSMUST00000134526	3	ENST00000395797	3	0	0	1	100	0	0	1	0	2.134	9438
ENSMUST00000164472	3	ENST00000374433	3	0	0	1	100	0	0	1	0	2.134	9438
ENSMUST00000164472	3	ENST00000395797	3	0	0	1	100	0	0	1	0	2.134	9438
ENSMUST00000136889	3	ENST00000374433	3	0	0	1	100	0	0	1	0	2.134	9438
ENSMUST00000136889	3	ENST00000395797	3	0	0	1	100	0	0	1	0	2.134	9438
ENSMUST00000137224	3	ENST00000374433	3	0	0	1	100	0	0	1	0	2.134	9438
ENSMUST00000137224	3	ENST00000395797	3	0	0	1	100	0	0	1	0	2.134	9438
ENSMUST00000162997	11	ENST00000568107	11	9	100	0	0	0	0	9	0	27.41	9.964e-08
ENSMUST00000064488	11	ENST00000568107	11	9	100	0	0	0	0	9	0	44.26	4.803e-15
ENSMUST00000070748	8	ENST00000304523	8	6	100	0	0	0	0	6	0	18.27	0.000925
ENSMUST00000070748	8	ENST00000502640	8	6	100	0	0	0	0	6	0	18.27	0.000925
ENSMUST00000070748	8	ENST00000441778	9	6	100	0	0	0	0	6	1	16.27	0.006835
ENSMUST00000070748	8	ENST00000515064	8	5	83.33	1	16.67	0	0	6	0	16.12	0.007982
ENSMUST00000070748	8	ENST00000507464	6	3	75	1	25	0	0	4	2	6.549	114.1
