Gene_Pair_id	Gene1_id	Gene1_name	Gene1_chromosome	Gene1_strand	Gene1_chr_start	Gene1_chr_end	Gene2_id	Gene2_name	Gene2_chromosome	Gene2_strand	Gene2_chr_start	Gene2_chr_end
27	GOODH_0030445	DCUN1D1	chr3	-	184143254	184181020	GOODM_0030045	Dcun1d1	chr3	-	35791903	35828996
28	GOODH_0010621	HDGF	chr1	-	154978526	154988160	GOODM_1030141	Hdgf	chr3	+	87710288	87720048
29	GOODH_1030456	ABCF3	chr3	+	185386557	185394489	GOODM_1160080	Abcf3	chr16	+	20548676	20561676
30	GOODH_1010047	SLC45A1	chr1	+	8306977	8326814	GOODM_0040553	Slc45a1	chr4	-	150003505	150026283
31	GOODH_0080216	FBXO43	chr8	-	101214836	101227252	GOODM_0150038	Fbxo43	chr15	-	36079815	36094639
32	GOODH_1140076	ARHGAP5	chr14	+	31616246	31698683	GOODM_1120083	Arhgap5	chr12	+	53617064	53668838
33	GOODH_1160099	ALG1	chr16	+	5061821	5075588	GOODM_1160015	Alg1	chr16	+	5233714	5245001
34	GOODH_1160302	PLEKHG4	chr16	+	65868914	65880883	GOODM_1080360	Plekhg4	chr8	+	107899281	107906762
35	GOODH_1010957	VN1R5	chr1	+	245485997	245487069	GOODM_0060165	V1rc17	chr6	-	57958177	57959196
36	GOODH_1030073	CNOT10	chr3	+	32701702	32790358	GOODM_0090467	Cnot10	chr9	-	114494996	114549192
37	GOODH_1120343	NR1H4	chr12	+	99391810	99481774	GOODM_0100274	Nr1h4	chr10	-	88917123	88969372
38	GOODH_1060432	C6orf72	chr6	+	149929221	149953760	GOODM_0100012	BC013529	chr10	-	7487745	7500715
39	GOODH_1010600	S100A9	chr1	+	151596954	151600126	GOODM_0030200	S100a9	chr3	-	90496555	90499613
40	GOODH_1010920	COG2	chr1	+	228844881	228896350	GOODM_1080472	Cog2	chr8	+	127044727	127075907
41	GOODH_0020468	MREG	chr2	-	216515559	216586591	GOODM_0010148	Mreg	chr1	-	72206019	72258881
42	GOODH_0030108	CSPG5	chr3	-	47578732	47595363	GOODM_1090501	Cspg5	chr9	+	110147955	110165080
43	GOODH_1120006	WNT5B	chr12	+	1596483	1626638	GOODM_0060337	Wnt5b	chr6	-	119382549	119494365
44	GOODH_0050341	DBN1	chr5	-	176816220	176833300	GOODM_0130192	Dbn1	chr13	-	55575148	55589529
45	GOODH_0010580	SHE	chr1	-	152718584	152741213	GOODM_1030176	She	chr3	+	89635292	89662756
46	GOODH_0020029	NT5C1B	chr2	-	18607619	18634319	GOODM_1120023	Nt5c1b	chr12	+	10376850	10396975
47	GOODH_0170291	KRTAP4-12	chr17	-	36532871	36533945	GOODM_0110537	LOC665992	chr11	-	99641328	99641957
48	GOODH_0190193	FARSA	chr19	-	12894284	12905558	GOODM_1080274	Farsa	chr8	+	87380885	87393156
49	GOODH_0040214	EMCN	chr4	-	101538009	101658202	GOODM_1030386	Emcn	chr3	+	137004107	137094033
50	GOODH_1190638	ZSCAN22	chr19	+	63530197	63545507	GOODM_1070074	Zscan22	chr7	+	13483164	13493588
51	GOODH_1220053	CRYBB3	chr22	+	23925825	23933324	GOODM_0050300	Crybb3	chr5	-	113504859	113509673
52	GOODH_1120264	OS9	chr12	+	56374153	56401605	GOODM_0100348	Os9	chr10	-	126532706	126558181
53	GOODH_1020120	CCDC128	chr2	+	48521412	48596026	GOODM_1170462	Ccdc128	chr17	+	88929601	88987705
54	GOODH_1020141	MDH1	chr2	+	63669626	63687832	GOODM_0110063	Mdh1	chr11	-	21456790	21471833
55	GOODH_1020156	ANTXR1	chr2	+	69093993	69329804	GOODM_0060244	Antxr1	chr6	-	87083847	87285769
56	GOODH_1060043	E2F3	chr6	+	20510116	20601924	GOODM_0130116	E2f3	chr13	-	29998444	30077932
57	GOODH_1070203	ASB4	chr7	+	94953220	95005005	GOODM_1060008	Asb4	chr6	+	5333386	5383021
58	GOODH_1010713	MGST3	chr1	+	163867074	163891477	GOODM_0010400	Mgst3	chr1	-	169302515	169323928
59	GOODH_1110120	MRGPRX4	chr11	+	18150960	18152403	GOODM_0070393	Mrgpra4	chr7	-	55236164	55237666
60	GOODH_1110367	KLC2	chr11	+	65781824	65791906	GOODM_0190037	Klc2	chr19	-	5107746	5118408
61	GOODH_1030489	FAM43A	chr3	+	195887911	195891053	GOODM_1160113	BC022623	chr16	+	30599809	30602839
62	GOODH_0060005	SERPINB1	chr6	-	2778735	2787080	GOODM_0130120	Serpinb1a	chr13	-	32933961	32943054
63	GOODH_0020343	BAZ2B	chr2	-	159883738	160181305	GOODM_0020208	Baz2b	chr2	-	59737420	59963797
64	GOODH_0030206	FAM3D	chr3	-	58594711	58627601	GOODM_0140010	Oit1	chr14	-	9181462	9211277
65	GOODH_0140073	EAPP	chr14	-	34054887	34078694	GOODM_0120071	Eapp	chr12	-	55774454	55796852
66	GOODH_0170136	TRIM16	chr17	-	15472006	15526918	GOODM_1110242	Trim16	chr11	+	62633755	62656450
67	GOODH_0110108	TMEM41B	chr11	-	9258780	9292872	GOODM_0070685	Tmem41b	chr7	-	117115701	117129744
68	GOODH_0210007	NRIP1	chr21	-	15255427	15262718	GOODM_0160252	Nrip1	chr16	-	76291107	76373294
69	GOODH_0110564	C11orf38	chr11	-	125151236	125153924	GOODM_1090115	Gm846	chr9	+	35477224	35480474
70	GOODH_0130136	EFNB2	chr13	-	105940099	105985338	GOODM_0080018	Efnb2	chr8	-	8617439	8660773
71	GOODH_1170023	GSG2	chr17	+	3573946	3576739	GOODM_0110319	Gsg2	chr11	-	72948987	72951796
72	GOODH_1120355	TDG	chr12	+	102883747	102906785	GOODM_1100271	Tdg	chr10	+	82092583	82113239
73	GOODH_1140193	YLPM1	chr14	+	74299822	74373766	GOODM_1120176	Ylpm1	chr12	+	86337271	86411465
74	GOODH_1160285	CKLF	chr16	+	65143967	65157655	GOODM_1080338	Cklf	chr8	+	106774803	106788836
75	GOODH_1190299	WTIP	chr19	+	39664720	39683925	GOODM_0070284	Wtip	chr7	-	34894567	34918287
76	GOODH_1190531	C19orf63	chr19	+	55671548	55678419	GOODM_0070325	2310044H10Rik	chr7	-	51745497	51751778
77	GOODH_1120063	PHC1	chr12	+	8958583	8985325	GOODM_0060349	Phc1	chr6	-	122267749	122287033
78	GOODH_1010621	DCST1	chr1	+	153272924	153290030	GOODM_0030183	Dcst1	chr3	-	89154157	89169161
79	GOODH_0060006	SERPINB9	chr6	-	2832505	2848506	GOODM_0130122	Serpinb9c	chr13	-	33241145	33251599
80	GOODH_1110119	MRGPRX3	chr11	+	18099078	18116601	GOODM_0070395	Mrgprb5	chr7	-	55423387	55424355
81	GOODH_1060322	PNRC1	chr6	+	89847216	89851597	GOODM_0040044	Pnrc1	chr4	-	33332398	33335762
82	GOODH_1070154	CLIP2	chr7	+	73341741	73458208	GOODM_0050410	Clip2	chr5	-	134965256	135028304
83	GOODH_1010446	GPR88	chr1	+	100776316	100780170	GOODM_0030354	Gpr88	chr3	-	115952574	115956372
84	GOODH_0030147	TRAIP	chr3	-	49841032	49868996	GOODM_1090463	Traip	chr9	+	107853294	107874599
85	GOODH_1110501	ACAT1	chr11	+	107497468	107523484	GOODM_0090219	Acat1	chr9	-	53388627	53418455
86	GOODH_1040070	SLIT2	chr4	+	19864333	20229886	GOODM_1050144	Slit2	chr5	+	48374394	48697017
87	GOODH_0010008	FAM132A	chr1	-	1167696	1171965	GOODM_1040573	C1qdc2	chr4	+	155336427	155340738
88	GOODH_0010283	IPP	chr1	-	45936996	45984720	GOODM_1040291	Ipp	chr4	+	116180154	116210840
89	GOODH_0020484	IHH	chr2	-	219627391	219633433	GOODM_0010164	Ihh	chr1	-	74991892	74998225
90	GOODH_0110226	SSRP1	chr11	-	56850036	56859927	GOODM_1020300	Ssrp1	chr2	+	84877358	84887268
91	GOODH_0110327	CFL1	chr11	-	65378863	65382380	GOODM_1190042	Cfl1	chr19	+	5490455	5494031
92	GOODH_0050234	PFDN1	chr5	-	139604819	139662873	GOODM_0180070	Pfdn1	chr18	-	36563333	36614149
93	GOODH_0220178	PHF21B	chr22	-	43655706	43784245	GOODM_0150236	Phf21b	chr15	-	84615814	84686479
94	GOODH_0130020	FAM123A	chr13	-	24640673	24643857	GOODM_1140203	2600011E07Rik	chr14	+	60997183	60999834
95	GOODH_0080265	FAM49B	chr8	-	130922900	131021182	GOODM_0150090	0910001A06Rik	chr15	-	63760652	63892010
96	GOODH_0170252	FBXO47	chr17	-	34346244	34377182	GOODM_0110496	Fbxo47	chr11	-	97715621	97745468
97	GOODH_0170519	WBP2	chr17	-	71353376	71363096	GOODM_0110691	Wbp2	chr11	-	115939887	115948278
98	GOODH_0190557	SIGLEC6	chr19	-	56714796	56726876	GOODM_1070386	Siglech	chr7	+	63023596	63034203
99	GOODH_1160091	VASN	chr16	+	4361850	4373530	GOODM_1160009	Vasn	chr16	+	4639994	4650787
100	GOODH_1170123	SMCR7	chr17	+	18104594	18109818	GOODM_1110224	Smcr7	chr11	+	60541900	60546453
101	GOODH_1030246	OR5K3	chr3	+	99592200	99593164	GOODM_1160208	Olfr195	chr16	+	59148678	59149604
102	GOODH_1190154	PRKCSH	chr19	+	11407269	11422780	GOODM_1090084	Prkcsh	chr9	+	21807479	21818666
103	GOODH_1200138	RPN2	chr20	+	35240888	35303437	GOODM_1020689	Rpn2	chr2	+	157104834	157152054
104	GOODH_1070315	TSPAN33	chr7	+	128571948	128595907	GOODM_1060052	Tspan33	chr6	+	29644256	29668558
105	GOODH_1010840	DYRK3	chr1	+	204875504	204889164	GOODM_0010287	Dyrk3	chr1	-	133025018	133034811
106	GOODH_1030215	C3orf14	chr3	+	62280436	62294358	GOODM_1140013	3830406C13Rik	chr14	+	13116723	13135745
107	GOODH_1110085	OR2D3	chr11	+	6898809	6899800	GOODM_1070589	Olfr708	chr7	+	114057714	114058637
108	GOODH_1040352	F11	chr4	+	187424112	187447829	GOODM_0080123	F11	chr8	-	46326524	46347385
109	GOODH_1070167	FLJ37078	chr7	+	75669152	75754541	GOODM_1050443	2900083I11Rik	chr5	+	136293976	136350642
110	GOODH_0020051	DTNB	chr2	-	25453616	25750007	GOODM_1120003	Dtnb	chr12	+	3572523	3781505
111	GOODH_0020259	TBC1D8	chr2	-	100990122	101134278	GOODM_0010075	Tbc1d8	chr1	-	39428345	39535580
112	GOODH_1100024	DHTKD1	chr10	+	12150940	12205230	GOODM_0020012	Dhtkd1	chr2	-	5819106	5863838
113	GOODH_0050296	HAVCR2	chr5	-	156445421	156468716	GOODM_1110106	Havcr2	chr11	+	46268433	46294756
114	GOODH_0060146	AGER	chr6	-	32256724	32260001	GOODM_1170233	Ager	chr17	+	34734807	34737877
115	GOODH_0010388	GBP7	chr1	-	89370022	89414311	GOODM_1030402	Gbp3	chr3	+	142223016	142236176
116	GOODH_0180029	C18orf45	chr18	-	19129979	19271923	GOODM_0180018	6030446N20Rik	chr18	-	12140448	12279962
117	GOODH_0140124	KIAA0831	chr14	-	54902863	54948329	GOODM_0140116	D14Ertd436e	chr14	-	48160569	48188089
118	GOODH_0110481	RDX	chr11	-	109605376	109672647	GOODM_1090248	Rdx	chr9	+	51855255	51896843
119	GOODH_1090117	MAK10	chr9	+	87745877	87827037	GOODM_1130219	Mak10	chr13	+	59686772	59736142
120	GOODH_1170292	MAPT	chr17	+	41327624	41461544	GOODM_1110613	Mapt	chr11	+	104092750	104193407
121	GOODH_1120371	ISCU	chr12	+	107480512	107487272	GOODM_1050316	Iscu	chr5	+	114222821	114228291
122	GOODH_1090115	RMI1	chr9	+	85785457	85808807	GOODM_1130217	Rmi1	chr13	+	58503629	58512505
123	GOODH_1010530	ANKRD35	chr1	+	144260566	144279883	GOODM_1030263	Ankrd35	chr3	+	96474054	96494957
124	GOODH_0160181	ZNF764	chr16	-	30472587	30477085	GOODM_0070771	9130019O22Rik	chr7	-	134525774	134537133
125	GOODH_1110194	OR4B1	chr11	+	48194938	48195866	GOODM_0020425	Olfr1270	chr2	-	89989247	89990161
126	GOODH_1040012	KIAA1530	chr4	+	1331104	1371732	GOODM_1050102	4933407H18Rik	chr5	+	33721345	33762403
127	GOODH_1060387	C6orf173	chr6	+	126702971	126711441	GOODM_0100059	2610036L11Rik	chr10	-	29915815	29920346
128	GOODH_1070028	USP42	chr7	+	6111076	6167720	GOODM_0050497	Usp42	chr5	-	144471195	144493149
129	GOODH_0020463	ERBB4	chr2	-	211948687	213111597	GOODM_0010144	Erbb4	chr1	-	68086540	69154633
130	GOODH_10X0334	CD40LG	chrX	+	135558002	135570214	GOODM_10X0143	Cd40lg	chrX	+	54465320	54477219
131	GOODH_1110195	OR4X2	chr11	+	48223232	48224143	GOODM_0020423	Olfr1269	chr2	-	89958824	89959753
132	GOODH_0110115	DKK3	chr11	-	11941121	11987493	GOODM_0070691	Dkk3	chr7	-	119259533	119302571
133	GOODH_0060457	PIP3-E	chr6	-	154517438	154719592	GOODM_1100002	A130090K04Rik	chr10	+	3294062	3434998
134	GOODH_0010752	GLRX2	chr1	-	191332223	191341867	GOODM_1010355	Glrx2	chr1	+	145586479	145596808
135	GOODH_0190601	CDC42EP5	chr19	-	59668022	59676234	GOODM_0070011	Cdc42ep5	chr7	-	4102862	4116301
136	GOODH_0210046	C21orf45	chr21	-	32562403	32573247	GOODM_0160285	2610039C10Rik	chr16	-	90719557	90727616
137	GOODH_0090321	FIBCD1	chr9	-	132767723	132804058	GOODM_0020129	Fibcd1	chr2	-	31668810	31701525
138	GOODH_0110551	OR8B3	chr11	-	123771517	123772457	GOODM_1090153	Olfr907	chr9	+	38306256	38307188
139	GOODH_1160056	TRAF7	chr16	+	2145800	2168130	GOODM_0170086	Traf7	chr17	-	24645795	24664775
140	GOODH_1090206	GSN	chr9	+	123070201	123134941	GOODM_1020168	Gsn	chr2	+	35137960	35163412
141	GOODH_1110449	MYO7A	chr11	+	76516964	76603932	GOODM_0070510	Myo7a	chr7	-	105199570	105268003
142	GOODH_1050316	G3BP1	chr5	+	151131669	151165106	GOODM_1110177	G3bp1	chr11	+	55283254	55314389
143	GOODH_1070361	EPHB6	chr7	+	142262914	142278967	GOODM_1060101	Ephb6	chr6	+	41555567	41570501
144	GOODH_0020308	LOC130074	chr2	-	131521920	131567474	GOODM_0010054	BC043098	chr1	-	34870071	34899819
145	GOODH_0030093	FYCO1	chr3	-	45934399	46012311	GOODM_0090506	Fyco1	chr9	-	123698628	123761020
146	GOODH_10X0189	MED12	chrX	+	70255131	70279028	GOODM_10X0245	Med12	chrX	+	98469430	98494273
147	GOODH_0040048	FBXL5	chr4	-	15215252	15266111	GOODM_0050119	Fbxl5	chr5	-	44147145	44173335
148	GOODH_0070044	ANKMY2	chr7	-	16605938	16651923	GOODM_1120066	Ankmy2	chr12	+	36883777	36923878
149	GOODH_0010263	EBNA1BP2	chr1	-	43402443	43410518	GOODM_1040310	Ebna1bp2	chr4	+	118293421	118300379
150	GOODH_0160196	COX6A2	chr16	-	31346556	31347222	GOODM_0070786	Cox6a2	chr7	-	135348949	135349880
151	GOODH_00X0353	G6PD	chrX	-	153412800	153428981	GOODM_00X0182	G6pdx	chrX	-	71654825	71674500
152	GOODH_0110331	C11orf68	chr11	-	65440860	65443107	GOODM_1190038	AI837181	chr19	+	5425157	5427313
153	GOODH_1180047	C18orf17	chr18	+	19826735	19966989	GOODM_1180021	2810439F02Rik	chr18	+	12802309	12895558
154	GOODH_1090097	MAMDC2	chr9	+	71848340	72031708	GOODM_0190182	Mamdc2	chr19	-	23377099	23522812
155	GOODH_1030173	C3orf45	chr3	+	50291522	50300548	GOODM_0090416	BY080835	chr9	-	107495398	107499406
156	GOODH_1030413	GFM1	chr3	+	159845011	159893052	GOODM_1030107	Gfm1	chr3	+	67234046	67278990
157	GOODH_0110069	OR52N1	chr11	-	5765662	5766622	GOODM_0070607	Olfr658	chr7	-	111791394	111795819
158	GOODH_1060296	KCNQ5	chr6	+	73388556	73962300	GOODM_0010034	Kcnq5	chr1	-	21392244	21951662
159	GOODH_1070350	NDUFB2	chr7	+	140042950	140052913	GOODM_1060086	Ndufb2	chr6	+	39542582	39549470
160	GOODH_1020468	ABI2	chr2	+	203901248	204005136	GOODM_1010123	Abi2	chr1	+	60466642	60538002
161	GOODH_0060196	PPIL1	chr6	-	36930586	36950747	GOODM_0170153	Ppil1	chr17	-	29387780	29400916
162	GOODH_0010140	HMGCL	chr1	-	24000955	24024536	GOODM_1040434	Hmgcl	chr4	+	135502360	135518528
163	GOODH_0020077	CAPN13	chr2	-	30799143	30883815	GOODM_0170414	Capn13	chr17	-	73655804	73748636
164	GOODH_00X0080	NDUFB11	chrX	-	46886563	46889381	GOODM_00X0051	Ndufb11	chrX	-	20192452	20194690
165	GOODH_00X0189	CHM	chrX	-	85002842	85189222	GOODM_00X0263	Chm	chrX	-	110154201	110299124
166	GOODH_00X0234	ACSL4	chrX	-	108771220	108863277	GOODM_00X0312	Acsl4	chrX	-	138752536	138825078
167	GOODH_0200141	C20orf142	chr20	-	42368611	42373303	GOODM_0020731	D930001I22Rik	chr2	-	163294439	163298365
168	GOODH_0170066	NLRP1	chr17	-	5345444	5428556	GOODM_0110308	Nlrp1b	chr11	-	70966604	71044235
169	GOODH_0080283	GPR20	chr8	-	142435771	142446547	GOODM_0150107	Gpr20	chr15	-	73525037	73537935
170	GOODH_0170580	RFNG	chr17	-	77599068	77602939	GOODM_0110748	Rfng	chr11	-	120642059	120645518
171	GOODH_0190149	EDG8	chr19	-	10484623	10489112	GOODM_0090059	Edg8	chr9	-	21047361	21052887
172	GOODH_0190445	GPR4	chr19	-	50784865	50787557	GOODM_1070130	Gpr4	chr7	+	19797887	19809523
173	GOODH_1130134	ATP11A	chr13	+	112392644	112589483	GOODM_1080029	Atp11a	chr8	+	12757016	12868728
174	GOODH_1080159	XKR9	chr8	+	71744154	71810730	GOODM_1010016	Xkr9	chr1	+	13658852	13691804
175	GOODH_1030126	KIF15	chr3	+	44778289	44869747	GOODM_1090561	Kif15	chr9	+	122860199	122927851
176	GOODH_1190637	ZNF8	chr19	+	63482130	63499066	GOODM_1070073	Zfp128	chr7	+	13466556	13478771
177	GOODH_1050144	ATG10	chr5	+	81303630	81586524	GOODM_0130297	Atg10	chr13	-	91074954	91363592
178	GOODH_1070307	METTL2B	chr7	+	127904019	127930213	GOODM_1110617	Mettl2	chr11	+	104987801	105001710
179	GOODH_1080158	SULF1	chr8	+	70541427	70735701	GOODM_1010015	Sulf1	chr1	+	12708626	12850453
180	GOODH_0030056	OSBPL10	chr3	-	31677322	31998242	GOODM_1090528	Osbpl10	chr9	+	114976397	115141341
181	GOODH_0030286	GSK3B	chr3	-	121028238	121295203	GOODM_1160165	Gsk3b	chr16	+	38089087	38246165
182	GOODH_1110205	OR4C15	chr11	+	55078359	55079469	GOODM_0020382	Olfr1211	chr2	-	88769535	88770470
183	GOODH_0070293	TFEC	chr7	-	115362438	115458034	GOODM_0060023	Tcfec	chr6	-	16783392	16848441
184	GOODH_0010064	C1orf127	chr1	-	10929120	10946845	GOODM_1040518	Gm572	chr4	+	148017426	148045681
185	GOODH_0010459	BCAS2	chr1	-	114911706	114925788	GOODM_1030294	Bcas2	chr3	+	102975634	102983077
186	GOODH_0040190	PPM1K	chr4	-	89400556	89424912	GOODM_0060157	Ppm1k	chr6	-	57456496	57485420
187	GOODH_0050200	ZCCHC10	chr5	-	132360576	132390139	GOODM_1110161	Zcchc10	chr11	+	53138191	53146803
188	GOODH_0060266	PKHD1	chr6	-	51588104	52060382	GOODM_0010030	Pkhd1	chr1	-	20047860	20608138
189	GOODH_0220170	MCAT	chr22	-	41858156	41869347	GOODM_0150229	Mcat	chr15	-	83377227	83386141
190	GOODH_1010040	ZBTB48	chr1	+	6562698	6571926	GOODM_0040560	Zbtb48	chr4	-	151393885	151401780
191	GOODH_0110535	TRIM29	chr11	-	119487204	119514073	GOODM_1090196	Trim29	chr9	+	43118846	43144208
192	GOODH_1090204	TLR4	chr9	+	119506431	119519585	GOODM_1040166	Tlr4	chr4	+	66488845	66503830
193	GOODH_1030308	CSTA	chr3	+	123526701	123543503	GOODM_0160152	BC117090	chr16	-	36321751	36334418
194	GOODH_1170266	RND2	chr17	+	38430784	38437583	GOODM_1110585	Rnd2	chr11	+	101329652	101332620
195	GOODH_1160141	METTL9	chr16	+	21518357	21576292	GOODM_1070665	Mettl9	chr7	+	128177959	128220349
196	GOODH_0110061	OR51B2	chr11	-	5301104	5302158	GOODM_0070588	Olfr64	chr7	-	111041324	111042985
197	GOODH_0110219	OR5M11	chr11	-	56066393	56067309	GOODM_1020317	Olfr1029	chr2	+	85815402	85816376
198	GOODH_0140055	CIDEB	chr14	-	23844235	23850416	GOODM_0140198	Cideb	chr14	-	56372892	56377261
199	GOODH_1110153	C11orf41	chr11	+	33520453	33652222	GOODM_0020470	D430041D05Rik	chr2	-	103983232	104250491
200	GOODH_1060208	C6orf89	chr6	+	36961618	37004716	GOODM_1170169	BC004004	chr17	+	29405924	29439826
201	GOODH_1030166	RBM6	chr3	+	49952596	50089685	GOODM_0090423	Rbm6	chr9	-	107675891	107775150
202	GOODH_0060418	FAM54A	chr6	-	136593861	136613142	GOODM_1100037	2610016C23Rik	chr10	+	20067631	20081125
203	GOODH_0070253	ACHE	chr7	-	100325552	100331477	GOODM_1050457	Ache	chr5	+	137729505	137735691
204	GOODH_0080028	CTSB	chr8	-	11737445	11763055	GOODM_1140215	Ctsb	chr14	+	63741302	63764758
205	GOODH_0100005	IDI1	chr10	-	1075966	1085061	GOODM_1130013	Idi1	chr13	+	8885220	8891616
206	GOODH_0110129	USH1C	chr11	-	17472036	17522539	GOODM_0070378	Ush1c	chr7	-	53450727	53493860
207	GOODH_0060233	CRIP3	chr6	-	43381189	43384508	GOODM_1170344	Crip3	chr17	+	46565891	46568720
208	GOODH_0130107	MYCBP2	chr13	-	76516793	76799178	GOODM_0140329	Mycbp2	chr14	-	103512628	103746017
209	GOODH_0160264	CENPT	chr16	-	66419561	66438862	GOODM_0080319	Cenpt	chr8	-	108368578	108375908
210	GOODH_00X0074	NDP	chrX	-	43692968	43717788	GOODM_00X0046	Ndph	chrX	-	16462648	16488890
211	GOODH_1210064	PKNOX1	chr21	+	43267712	43326757	GOODM_1170185	Pknox1	chr17	+	31720641	31744629
212	GOODH_1140128	PSMA3	chr14	+	57781346	57808479	GOODM_1120115	Psma3	chr12	+	72075680	72095908
213	GOODH_1170043	MIS12	chr17	+	5330971	5334852	GOODM_1110320	Mis12	chr11	+	70833113	70840636
214	GOODH_1010478	UBL4B	chr1	+	110456585	110458091	GOODM_0030319	Ubl4b	chr3	-	107356616	107357991
215	GOODH_0110247	MPEG1	chr11	-	58732559	58737070	GOODM_1190125	Pfpl	chr19	+	12502395	12506600
216	GOODH_1030244	OR5H2	chr3	+	99484422	99485366	GOODM_0160218	Olfr186	chr16	-	59026802	59027731
217	GOODH_1100005	PFKP	chr10	+	3099752	3168995	GOODM_0130009	Pfkp	chr13	-	6579120	6647970
218	GOODH_1060191	SCUBE3	chr6	+	35290168	35326587	GOODM_1170153	Scube3	chr17	+	28279471	28308290
219	GOODH_1080110	GINS4	chr8	+	41505903	41519055	GOODM_0080068	Gins4	chr8	-	24337097	24348131
220	GOODH_0080278	KCNK9	chr8	-	140693986	140784481	GOODM_0150102	Kcnk9	chr15	-	72342549	72376709
221	GOODH_0030412	C3orf57	chr3	-	162545275	162572565	GOODM_0030113	1110032A04Rik	chr3	-	69623461	69663796
222	GOODH_0010783	CHI3L1	chr1	-	201414682	201422545	GOODM_1010323	Chi3l1	chr1	+	136079058	136086608
223	GOODH_0190481	PLA2G4C	chr19	-	53242917	53305826	GOODM_1070082	Pla2g4c	chr7	+	13914684	13945292
224	GOODH_0190501	GYS1	chr19	-	54163195	54188361	GOODM_1070350	Gys1	chr7	+	52690209	52711987
225	GOODH_0150060	ZFP106	chr15	-	40492314	40537022	GOODM_0020546	Zfp106	chr2	-	120332566	120389567
226	GOODH_1140124	C14orf101	chr14	+	56116264	56185983	GOODM_1140121	6720456H20Rik	chr14	+	49066027	49134834
227	GOODH_1150177	CPLX3	chr15	+	72906004	72911189	GOODM_0090246	Cplx3	chr9	-	57447799	57454039
228	GOODH_1050288	TCERG1	chr5	+	145807066	145871261	GOODM_1180118	Tcerg1	chr18	+	42671141	42735439
